"statecode","countycode","renters30ormore_num","owners30ormore_num","renters50_num","owners50_num","renters30ormore_lowinc_num","owners30ormore_lowinc_num","renters50_lowinc_num","owners50_lowinc_num","owners_denom","renters_denom","owners_lowinc_denom","renters_lowinc_denom","v153_rawvalue","renters30ormore","owners30ormore","renters30ormore_lowinc","owners30ormore_lowinc","renters50_lowinc","owners50_lowinc","renters50","owners50","state","county","fipscode"
"00","000",20909407,17588423,10516877,7684364,15931772,10484695,9814979,6181825,82198109,41515732,18669936,19572214,0.650221008133132,0.503650206625286,0.213976005214427,0.813999479057403,0.561581732256608,0.501475152478917,0.331111204666154,0.253322692226648,0.0934858975892012,"US","United States","00000"
"01","000",250987,235865,128582,102958,233612,183024,127154,96149,1361639,516436,423449,316624,0.699333961368236,0.485998265031872,0.173221389810368,0.737821517004396,0.432222062160969,0.401593056748699,0.227061582386545,0.248979544415959,0.0756132866347101,"AL","Alabama","01000"
"01","001",1546,3003,852,1261,1339,2367,852,1195,16610,4900,5019,2054,0.749100919060516,0.315510204081633,0.180794701986755,0.651898734177215,0.471607890017932,0.414800389483934,0.238095238095238,0.173877551020408,0.0759181216134859,"AL","Autauga County","01001"
"01","003",8881,14049,3910,6705,7130,9781,3741,6114,72743,19150,20305,9257,0.775353437163204,0.463759791122715,0.193131985208199,0.77022793561629,0.481704013789707,0.404126606892082,0.301108101452844,0.204177545691906,0.0921738174119847,"AL","Baldwin County","01003"
"01","005",965,1205,425,467,965,1042,425,467,5974,2389,2710,1785,0.67488986784141,0.403934700711595,0.201707398727821,0.540616246498599,0.38450184501845,0.238095238095238,0.172324723247232,0.177898702385936,0.0781720790090392,"AL","Barbour County","01005"
"01","007",772,1053,386,401,757,897,386,368,5801,1349,2425,994,0.771760665698058,0.57227575982209,0.181520427512498,0.761569416498994,0.369896907216495,0.388329979879276,0.151752577319588,0.286137879911045,0.0691260127564213,"AL","Bibb County","01007"
"01","009",1720,2677,808,1139,1693,2083,808,1008,17362,3423,5846,2525,0.795058470218865,0.502483201869705,0.154187305609953,0.670495049504951,0.356312008210742,0.32,0.172425590147109,0.236050248320187,0.0656030411242944,"AL","Blount County","01009"
"01","011",541,438,397,179,541,427,397,179,2179,973,1199,803,0.635099913119027,0.55601233299075,0.201009637448371,0.673723536737235,0.356130108423686,0.49439601494396,0.14929107589658,0.408016443987667,0.0821477742083525,"AL","Bullock County","01011"
"01","013",818,716,465,226,818,651,465,226,4881,1744,2083,1286,0.684109060864776,0.469036697247706,0.146691251792665,0.636080870917574,0.312530004800768,0.361586314152411,0.108497359577532,0.266628440366972,0.0463019872976849,"AL","Butler County","01013"
"01","015",5343,5130,2842,1884,5249,4404,2825,1872,31249,11861,11548,7824,0.70386703601108,0.450467920074193,0.164165253288105,0.67088445807771,0.381364738482854,0.361068507157464,0.162105992379633,0.23960880195599,0.0602899292777369,"AL","Calhoun County","01015"
"01","017",1270,1859,569,681,1141,1628,569,681,9468,3384,4544,1770,0.70988896341009,0.375295508274232,0.196345585128855,0.644632768361582,0.358274647887324,0.321468926553672,0.149867957746479,0.168144208037825,0.0719264892268695,"AL","Chambers County","01017"
"01","019",555,1425,78,638,522,1250,78,604,8182,1436,3541,945,0.794502243008495,0.386490250696379,0.174162796382303,0.552380952380952,0.353007624964699,0.0825396825396825,0.170573284382943,0.0543175487465181,0.0779760449767783,"AL","Cherokee County","01019"
"01","021",985,2166,567,1152,964,1845,567,1137,13432,3325,5096,1742,0.76831491397972,0.296240601503759,0.161256700416915,0.553386911595867,0.362048665620094,0.32548794489093,0.223116169544741,0.170526315789474,0.0857653365098273,"AL","Chilton County","01021"
"01","023",277,693,184,337,277,675,184,333,4182,611,2009,435,0.822187862388867,0.453355155482815,0.16571018651363,0.636781609195402,0.335988053758089,0.422988505747126,0.165754106520657,0.30114566284779,0.0805834528933525,"AL","Choctaw County","01023"
"01","025",857,1009,332,396,857,863,332,387,5814,1521,2233,1148,0.709181258873639,0.56344510190664,0.173546611627107,0.746515679442509,0.386475593372145,0.289198606271777,0.173309449171518,0.21827744904668,0.0681114551083591,"AL","Clarke County","01025"
"01","027",415,804,119,224,415,652,119,224,4402,1082,1752,724,0.77692974848222,0.383548983364141,0.182644252612449,0.573204419889503,0.372146118721461,0.164364640883978,0.127853881278539,0.109981515711645,0.0508859609268514,"AL","Clay County","01027"
"01","029",375,591,118,260,375,522,118,260,4619,832,1745,658,0.800478714310139,0.450721153846154,0.127949772678069,0.569908814589666,0.299140401146132,0.179331306990881,0.148997134670487,0.141826923076923,0.0562892400952587,"AL","Cleburne County","01029"
"01","031",2121,2556,1216,1141,2043,2118,1207,1057,14278,5487,4494,3081,0.692329817833173,0.386550027337343,0.179016669001261,0.663096397273612,0.471295060080107,0.391755923401493,0.235202492211838,0.221614725715327,0.0799131531026754,"AL","Coffee County","01031"
"01","033",2763,2681,1390,1239,2673,2244,1390,1205,17011,5928,5617,4080,0.708015030763513,0.466093117408907,0.157603903356652,0.655147058823529,0.399501513263308,0.340686274509804,0.214527327755029,0.234480431848853,0.072835224266651,"AL","Colbert County","01033"
"01","035",427,473,208,241,407,453,208,241,3303,818,1564,664,0.749337455830389,0.52200488997555,0.14320314865274,0.612951807228916,0.289641943734015,0.313253012048193,0.154092071611253,0.254278728606357,0.0729639721465335,"AL","Conecuh County","01035"
"01","037",313,362,47,82,313,307,47,82,3395,519,1204,395,0.813139728636039,0.603082851637765,0.106627393225331,0.792405063291139,0.254983388704319,0.118987341772152,0.0681063122923588,0.0905587668593449,0.0241531664212077,"AL","Coosa County","01037"
"01","039",1292,1803,566,753,1292,1645,566,718,10858,2616,4367,1984,0.757157640565712,0.49388379204893,0.166052680051575,0.651209677419355,0.376688802381498,0.285282258064516,0.164414930158003,0.216360856269113,0.0693497881746178,"AL","Covington County","01039"
"01","041",374,779,233,309,365,730,233,301,3622,1048,1620,657,0.742068965517241,0.356870229007634,0.21507454445058,0.555555555555556,0.450617283950617,0.354642313546423,0.185802469135802,0.222328244274809,0.0853119823302043,"AL","Crenshaw County","01041"
"01","043",2649,4302,1237,1782,2595,3456,1237,1681,26084,6977,9464,3949,0.763570043134644,0.379676078543787,0.164928691918417,0.657128386933401,0.365173288250211,0.313243859204862,0.17762045646661,0.177296832449477,0.0683177426775035,"AL","Cullman County","01043"
"01","045",2616,1941,1119,845,2413,1791,1119,837,11969,6864,4425,3995,0.613435176286105,0.381118881118881,0.162168936419083,0.604005006257822,0.404745762711864,0.280100125156446,0.189152542372881,0.163024475524476,0.070599047539477,"AL","Dale County","01045"
"01","047",2941,1683,1606,941,2920,1599,1606,938,9232,5054,4456,3822,0.610145303580695,0.581915314602295,0.182300693240901,0.76399790685505,0.358842010771993,0.420198848770277,0.210502692998205,0.317768104471706,0.101928076256499,"AL","Dallas County","01047"
"01","049",1954,3326,841,1131,1923,2892,841,1116,19740,4595,8115,3339,0.767594234178679,0.425244831338411,0.168490374873354,0.5759209344115,0.35637707948244,0.251871817909554,0.137523105360444,0.183025027203482,0.0572948328267477,"AL","DeKalb County","01049"
"01","051",2978,3501,1492,1420,2818,2404,1492,1363,24858,6604,6006,3770,0.768637216022626,0.450938824954573,0.140839971035482,0.747480106100796,0.4002664002664,0.395755968169761,0.226939726939727,0.225923682616596,0.0571244669724033,"AL","Elmore County","01051"
"01","053",1400,1537,756,632,1400,1434,756,613,8637,2963,3916,2086,0.686878960957672,0.472494093823827,0.177955308556212,0.671140939597315,0.366189989785495,0.36241610738255,0.156537282941777,0.255146810664867,0.0731735556327428,"AL","Escambia County","01053"
"01","055",4497,5014,2388,2161,4404,4220,2360,2033,28531,8982,11254,6182,0.737512768130746,0.500668002672011,0.175738670218359,0.71239081203494,0.374977785676204,0.381753477838887,0.180646881108939,0.265865063460254,0.0757421751778767,"AL","Etowah County","01055"
