"","statecode","countycode","state","county","fipscode","v156_rawvalue"
"1","00","000","US","United States","00000",107.616657144017
"2","01","000","AL","Alabama","01000",67.3287091281223
"3","01","001","AL","Autauga County","01001",46.4738481917907
"4","01","003","AL","Baldwin County","01003",39.0680672719326
"5","01","005","AL","Barbour County","01005",34.4056492755105
"6","01","007","AL","Bibb County","01007",8.14679001399411
"7","01","009","AL","Blount County","01009",14.440234050896
"8","01","011","AL","Bullock County","01011",15.9680374962892
"9","01","013","AL","Butler County","01013",22.2333802449697
"10","01","015","AL","Calhoun County","01015",56.0227480883545
"11","01","017","AL","Chambers County","01017",37.1970223535149
"12","01","019","AL","Cherokee County","01019",4.04807658576813
"13","01","021","AL","Chilton County","01021",17.5313008826766
"14","01","023","AL","Choctaw County","01023",1.62059482381246
"15","01","025","AL","Clarke County","01025",13.159151516224
"16","01","027","AL","Clay County","01027",2.56076676593732
"17","01","029","AL","Cleburne County","01029",10.9142900039714
"18","01","031","AL","Coffee County","01031",36.988437512729
"19","01","033","AL","Colbert County","01033",64.6124995890562
"20","01","035","AL","Conecuh County","01035",11.0019231631506
"21","01","037","AL","Coosa County","01037",7.28690149071098
"22","01","039","AL","Covington County","01039",17.7679401737333
"23","01","041","AL","Crenshaw County","01041",15.1005428454042
"24","01","043","AL","Cullman County","01043",24.0458627767463
"25","01","045","AL","Dale County","01045",25.1458953429626
"26","01","047","AL","Dallas County","01047",33.6696942193347
"27","01","049","AL","DeKalb County","01049",13.278176854239
"28","01","051","AL","Elmore County","01051",25.0737672825726
"29","01","053","AL","Escambia County","01053",25.4911377043386
"30","01","055","AL","Etowah County","01055",60.3088799774998
"31","01","057","AL","Fayette County","01057",4.57369688851329
"32","01","059","AL","Franklin County","01059",16.3695259335065
"33","01","061","AL","Geneva County","01061",2.6964553522235
"34","01","063","AL","Greene County","01063",9.94003562628799
"35","01","065","AL","Hale County","01065",6.59394139714981
"36","01","067","AL","Henry County","01067",22.4551317116831
