"statecode","countycode","state","county","fipscode","v024aian","v024aianlow","v024aianhigh","aiannum","aiandenom","v024hispanic","v024hispaniclow","v024hispanichigh","hispanicnum","hispanicdenom","v024white","v024whitelow","v024whitehigh","whitenum","whitedenom","v024black","v024blacklow","v024blackhigh","blacknum","blackdenom","v024asian","v024asianlow","v024asianhigh","asiannum","asiandenom"
"00","000","US","United States","00000",0.279622683812655,0.274810097093512,0.284435270531798,207029,740387,0.222559825543147,0.220565965496237,0.224553685590056,4180720,18784702,0.100266496797887,0.0991579377435364,0.101375055852238,3485516,34762519,0.301746788990074,0.299192541989369,0.304301035990779,2945781,9762427,0.106020602091162,0.10405502920509,0.107986174977234,411030,3876888
"01","000","AL","Alabama","01000",0.275087175513367,0.20309463917511,0.347079711851624,1420,5162,0.32588738117142,0.30767589277266,0.344098869570179,34007,104352,0.116428978065344,0.111720729819458,0.121137226311231,72194,620069,0.380957832110684,0.370312349427972,0.391603314793396,119804,314481,0.126354969309129,0.0992711953343971,0.153438743283861,1935,15314
"01","001","AL","Autauga County","01001",NA,NA,NA,0,0,0.221428571428571,0.0276850850811683,0.415172057775975,155,700,0.0826537359488649,0.0506310109681531,0.114676460929577,750,9074,0.260987153482083,0.133825942261702,0.388148364702463,772,2958,NA,NA,NA,0,99
"01","003","AL","Baldwin County","01003",NA,NA,NA,0,120,0.336218998596163,0.190874019346915,0.481563977845411,1437,4274,0.0686547776905799,0.0523898636389324,0.0849196917422274,2537,36953,0.536754507628294,0.440628408056194,0.632880607200394,2322,4326,0.12621359223301,0,0.294029823633488,78,618
"01","005","AL","Barbour County","01005",NA,NA,NA,0,0,0.596302003081664,0.393385013483597,0.799218992679731,387,649,0.0384615384615385,0.00142617865010788,0.075496898272969,65,1690,0.492957746478873,0.427943795666103,0.557971697291643,1295,2627,NA,NA,NA,0,15
"01","007","AL","Bibb County","01007",NA,NA,NA,0,0,0.399141630901288,0.0850350053112446,0.713248256491331,93,233,0.239489255683588,0.163098941903298,0.315879569463877,769,3211,0.694312796208531,0.511711033816107,0.876914558600955,586,844,NA,NA,NA,0,0
"01","009","AL","Blount County","01009",0.247058823529412,0,0.499726969145307,21,85,0.471395881006865,0.387777016721887,0.555014745291843,1030,2185,0.123203678865683,0.0892982609591632,0.157109096772203,1286,10438,0.184782608695652,0,0.598357125706695,34,184,NA,NA,NA,0,0
"01","011","AL","Bullock County","01011",NA,NA,NA,0,0,0.650717703349282,0.42761832335464,0.873817083343925,136,209,0.0672268907563025,0,0.193634049769923,16,238,0.470550981633946,0.360072232084195,0.581029731183696,743,1579,NA,NA,NA,0,0
"01","013","AL","Butler County","01013",NA,NA,NA,0,0,0.317757009345794,0,0.801712622959107,34,107,0.144870349492672,0.0599076594555374,0.229833039529806,257,1774,0.472209248014946,0.381369634403547,0.563048861626345,1011,2141,NA,NA,NA,0,45
"01","015","AL","Calhoun County","01015",NA,NA,NA,6,34,0.412455334354262,0.289146247527616,0.535764421180908,808,1959,0.150140505820955,0.116032109482621,0.18424890215929,2244,14946,0.352969272408852,0.292016755164633,0.413921789653071,2217,6281,0.4,0,0.948683828408269,54,135
"01","017","AL","Chambers County","01017",NA,NA,NA,0,0,0.514038876889849,0.19760011120374,0.830477642575958,238,463,0.150366748166259,0.0819074899337751,0.218826006398743,492,3272,0.223340673167663,0.152014010013689,0.294667336321637,710,3179,NA,NA,NA,0,1
"01","019","AL","Cherokee County","01019",NA,NA,NA,3,3,0.554140127388535,0.192376248702864,0.915904006074206,87,157,0.127232142857143,0.0859593762695224,0.168504909444763,513,4032,NA,NA,NA,57,63,NA,NA,NA,3,3
"01","021","AL","Chilton County","01021",NA,NA,NA,0,122,0.26458208057727,0.068606761326738,0.460557399827802,440,1663,0.143878101402373,0.103116506440832,0.184639696363915,1067,7416,0.197198275862069,0.0858703421480574,0.308526209576081,183,928,NA,NA,NA,0,35
"01","023","AL","Choctaw County","01023",NA,NA,NA,0,0,NA,NA,NA,0,39,0.146795827123696,0.0430043561803344,0.250587298067058,197,1342,0.465092402464066,0.342456884648971,0.587727920279161,453,974,NA,NA,NA,0,0
"01","025","AL","Clarke County","01025",NA,NA,NA,0,0,NA,NA,NA,0,79,0.173624288425047,0.116645716099772,0.230602860750323,366,2108,0.383278145695364,0.266947163167129,0.4996091282236,926,2416,NA,NA,NA,0,0
"01","027","AL","Clay County","01027",NA,NA,NA,15,15,0.0810810810810811,0,0.376724102443961,12,148,0.115384615384615,0.0383409905925708,0.19242824017666,237,2054,0.651898734177215,0.446274871598542,0.857522596755888,206,316,NA,NA,NA,0,10
"01","029","AL","Cleburne County","01029",NA,NA,NA,0,36,0.194690265486726,0,0.551821043949911,22,113,0.210659898477157,0.131935314932748,0.289384482021567,664,3152,NA,NA,NA,0,0,NA,NA,NA,0,2
"01","031","AL","Coffee County","01031",0.0161290322580645,0,0.43817081351253,2,124,0.425099206349206,0.303044656093833,0.54715375660458,857,2016,0.0859893326395213,0.065780819732207,0.106197845546835,661,7687,0.657596371882086,0.55980139922001,0.755391344544162,1450,2205,NA,NA,NA,0,63
"01","033","AL","Colbert County","01033",NA,NA,NA,9,9,0.375172413793103,0.169794326261371,0.580550501324836,272,725,0.172246032665354,0.121745535845101,0.222746529485606,1487,8633,0.596094552929085,0.505986824328947,0.686202281529223,1160,1946,NA,NA,NA,0,38
"01","035","AL","Conecuh County","01035",NA,NA,NA,0,0,NA,NA,NA,0,17,0.219382321618743,0.104101347601668,0.334663295635819,206,939,0.765217391304348,0.709627046162986,0.820807736445709,880,1150,NA,NA,NA,0,0
"01","037","AL","Coosa County","01037",NA,NA,NA,0,0,NA,NA,NA,0,144,0.067741935483871,0,0.150842097343283,63,930,0.642599277978339,0.386209215388339,0.89898934056834,356,554,NA,NA,NA,0,0
"01","039","AL","Covington County","01039",NA,NA,NA,0,42,0.1625,0,0.350904030475763,39,240,0.233239787963829,0.175329081097595,0.291150494830063,1496,6414,0.459016393442623,0.334550308349085,0.583482478536161,420,915,NA,NA,NA,25,54
"01","041","AL","Crenshaw County","01041",NA,NA,NA,0,22,0.357142857142857,0,0.833578845502996,25,70,0.106449921342423,0.0509139329262307,0.161985909758615,203,1907,0.248475609756098,0.0661271382110829,0.430824081301112,163,656,NA,NA,NA,0,11
"01","043","AL","Cullman County","01043",NA,NA,NA,0,20,0.329937747594793,0.132347584293926,0.527527910895661,583,1767,0.167592863410354,0.135427902596479,0.199757824224228,2865,17095,0.0439024390243902,0,0.23446360525629,9,205,NA,NA,NA,0,132
"01","045","AL","Dale County","01045",NA,NA,NA,0,87,0.263250883392226,0.133709035928683,0.392792730855769,298,1132,0.209960641840751,0.145925334140659,0.273995949540843,1387,6606,0.545983278807706,0.459242342060489,0.632724215554923,1502,2751,NA,NA,NA,0,89
"01","047","AL","Dallas County","01047",NA,NA,NA,25,25,NA,NA,NA,107,129,0.236682808716707,0.110908045952712,0.362457571480702,391,1652,0.498370853080569,0.433847132735933,0.562894573425205,3365,6752,NA,NA,NA,32,98
"01","049","AL","DeKalb County","01049",0.33112582781457,0.0863840121833562,0.575867643445783,100,302,0.52639175257732,0.443399718005466,0.609383787149173,2553,4850,0.212469895638212,0.164431360313769,0.260508430962656,2382,11211,0.113095238095238,0,0.485070490674276,19,168,NA,NA,NA,87,168
"01","051","AL","Elmore County","01051",NA,NA,NA,0,3,0.162768031189084,0.040477816232279,0.285058246145889,167,1026,0.120149602618046,0.0843205901687199,0.155978615067372,1542,12834,0.242645271091661,0.164661579125282,0.320628963058039,998,4113,NA,NA,NA,0,42
"01","053","AL","Escambia County","01053",0.279527559055118,0.0759951124495137,0.483060005660722,71,254,0.115755627009646,0,0.300542846163283,36,311,0.133435247870714,0.0815184726639967,0.185352023077432,611,4579,0.512302607418289,0.391026744103488,0.63357847073309,1395,2723,NA,NA,NA,0,0
"01","055","AL","Etowah County","01055",NA,NA,NA,7,26,0.472451790633609,0.375719395144149,0.569184186123068,1029,2178,0.157624778062734,0.128573194886098,0.186676361239371,2397,15207,0.432784041630529,0.33539987977682,0.530168203484238,1497,3459,0.763157894736842,0.580392848343382,0.945922941130303,87,114
"01","057","AL","Fayette County","01057",NA,NA,NA,0,0,NA,NA,NA,0,70,0.188616071428571,0.115161499597911,0.262070643259232,507,2688,0.472945891783567,0.206781383506625,0.739110400060509,236,499,NA,NA,NA,0,0
"01","059","AL","Franklin County","01059",NA,NA,NA,0,31,0.338073953677367,0.221506681626702,0.454641225728032,832,2461,0.2487887086581,0.184555641899895,0.313021775416305,1181,4747,0.170124481327801,0,0.508560086050982,41,241,NA,NA,NA,0,13
"01","061","AL","Geneva County","01061",NA,NA,NA,0,2,0.41793893129771,0.234907711542061,0.600970151053359,219,524,0.148658275943956,0.0973152613874276,0.200001290500485,626,4211,0.568123393316195,0.305451706389616,0.830795080242775,221,389,NA,NA,NA,0,44
"01","063","AL","Greene County","01063",NA,NA,NA,0,0,NA,NA,NA,0,5,0.028735632183908,0,0.222169704064101,5,174,0.625954198473282,0.529958268609379,0.721950128337186,902,1441,NA,NA,NA,0,0
"01","065","AL","Hale County","01065",NA,NA,NA,0,0,NA,NA,NA,0,66,0.0582608695652174,0,0.119978616376522,67,1150,0.46864024084295,0.322098361019754,0.615182120666147,934,1993,NA,NA,NA,0,0
"01","067","AL","Henry County","01067",NA,NA,NA,0,0,NA,NA,NA,0,119,0.0834821428571429,0.0404849297092649,0.126479356005021,187,2240,0.603938730853392,0.340264749859058,0.867612711847725,552,914,NA,NA,NA,9,56
"01","069","AL","Houston County","01069",NA,NA,NA,35,36,0.451900237529691,0.38116320136293,0.522637273696453,761,1684,0.121886391251519,0.101242140775637,0.142530641727401,1605,13168,0.471186020572562,0.437653412035527,0.504718629109596,3802,8069,0.0408163265306122,0,0.347078716136155,10,245
"01","071","AL","Jackson County","01071",0.0563380281690141,0,0.801455521458632,4,71,0.737430167597765,0.621609854849715,0.853250480345816,528,716,0.196791093647675,0.15297661382315,0.2406055734722,1803,9162,0.361370716510903,0.202663518399512,0.520077914622295,116,321,NA,NA,NA,0,31
"01","073","AL","Jefferson County","01073",0.280575539568345,0.0973051477051744,0.463845931431516,156,556,0.328172743939703,0.280358666302381,0.375986821577025,4833,14727,0.0726480749011165,0.0598946759218297,0.0854014738804033,4353,59919,0.351855337261658,0.327325860360008,0.376384814163308,24303,69071,0.13641324117861,0.0564680330768783,0.216358449280342,375,2749
"01","075","AL","Lamar County","01075",0.0204081632653061,0,0.745542905317425,1,49,0.0725806451612903,0,0.403075534375741,9,124,0.161495624502784,0.0844584925014163,0.238532756504152,406,2514,0.311688311688312,0,0.63104312251873,48,154,NA,NA,NA,0,0
"01","077","AL","Lauderdale County","01077",0.564516129032258,0.10118992533804,1,35,62,0.0986277873070326,0,0.21296115129673,115,1166,0.140286758504358,0.105157016369004,0.175416500639711,1996,14228,0.426817288801572,0.317678376564351,0.535956201038792,869,2036,NA,NA,NA,5,49
"01","079","AL","Lawrence County","01079",0.228310502283105,0,0.498154015583816,50,219,NA,NA,NA,0,406,0.185493010955799,0.0988624671397046,0.272123554771893,982,5294,0.156451612903226,0.0167517630129709,0.296151462793481,97,620,NA,NA,NA,0,0
"01","081","AL","Lee County","01081",0.111111111111111,0,0.4108487582096,14,126,0.194146341463415,0.097883800006023,0.290408882920806,597,3075,0.0811896734863529,0.0531958439379715,0.109183503034734,1758,21653,0.376257749771318,0.297907074377817,0.454608425164819,3702,9839,0.0309760374050263,0,0.1066440475763,53,1711
"01","083","AL","Limestone County","01083",0.485714285714286,0.0398187162505335,0.931609855178038,102,210,0.309977397481434,0.193888165093181,0.426066629869687,960,3097,0.0960970397837974,0.0605319074360777,0.131662172131517,1529,15911,0.174152153987168,0.0563320506268338,0.291972257347502,380,2182,NA,NA,NA,0,482
"01","085","AL","Lowndes County","01085",NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,420,0.624856815578465,0.580034507582268,0.669679123574662,1091,1746,NA,NA,NA,0,0
"01","087","AL","Macon County","01087",NA,NA,NA,0,1,0.565573770491803,0.24524836376682,0.885899177216786,69,122,0.047808764940239,0,0.173859752551521,12,251,0.366232675346493,0.284219873476768,0.448245477216218,872,2381,NA,NA,NA,0,0
"01","089","AL","Madison County","01089",0.111320754716981,0,0.271984086711873,59,530,0.255286512545196,0.192417627673976,0.318155397416415,2330,9127,0.0530798772769208,0.0410042999587525,0.065155454595089,2474,46609,0.268503364248045,0.228624249875906,0.308382478620184,5906,21996,0.0286472148541114,0,0.0621219570846696,54,1885
"01","091","AL","Marengo County","01091",NA,NA,NA,0,0,NA,NA,NA,54,142,0.0151699029126214,0,0.0386620150643459,25,1648,0.501451679800912,0.425380488583653,0.577522871018172,1209,2411,NA,NA,NA,29,33
"01","093","AL","Marion County","01093",0.951515151515152,0.647147256743932,1,157,165,0.811797752808989,0.403527942012481,1,289,356,0.194272880404267,0.134679602921288,0.253866157887246,1038,5343,NA,NA,NA,0,131,NA,NA,NA,0,3
"01","095","AL","Marshall County","01095",0.277027027027027,0,0.583720107566226,164,592,0.358212776853156,0.292792283293254,0.423633270413057,2798,7811,0.16392291985707,0.13620829366358,0.19163754605056,2569,15672,0.374358974358974,0.130336192548819,0.61838175616913,219,585,0.0410958904109589,0,0.610527439063473,6,146
"01","097","AL","Mobile County","01097",0.352238805970149,0,0.73597362188946,118,335,0.200455062571104,0.113012388585243,0.287897736556964,881,4395,0.106876314915292,0.0895203435133613,0.124232286317222,4826,45155,0.388463711541425,0.36046376293917,0.41646366014368,15126,38938,0.320891904992729,0.194421092246315,0.447362717739143,662,2063
"01","099","AL","Monroe County","01099",NA,NA,NA,7,23,NA,NA,NA,0,0,0.136409736308316,0.0868447773547142,0.185974695261919,269,1972,0.35725677830941,0.23991042953695,0.47460312708187,672,1881,NA,NA,NA,0,63
"01","101","AL","Montgomery County","01101",NA,NA,NA,57,83,0.355373551737915,0.251804374786165,0.458942728689664,1779,5006,0.0475337928565034,0.0242416102851158,0.0708259754278911,531,11171,0.378837905390811,0.344708335539229,0.412967475242392,12277,32407,0.0890855457227139,0,0.187484103477652,151,1695
"01","103","AL","Morgan County","01103",NA,NA,NA,0,121,0.24343394747158,0.176679830380464,0.310188064562696,1242,5102,0.10471741112124,0.0711263878519115,0.138308434390568,1838,17552,0.389671361502347,0.292345460711919,0.486997262292776,1909,4899,NA,NA,NA,0,68
"01","105","AL","Perry County","01105",NA,NA,NA,0,0,NA,NA,NA,0,0,0.338815789473684,0.278107770161399,0.39952380878597,103,304,0.66042966042966,0.535212673764722,0.785646647094599,953,1443,NA,NA,NA,0,0
"01","107","AL","Pickens County","01107",NA,NA,NA,1,3,NA,NA,NA,0,162,0.225748502994012,0.151856447501087,0.299640558486937,377,1670,0.521551724137931,0.425178020909844,0.617925427366018,847,1624,NA,NA,NA,0,0
"01","109","AL","Pike County","01109",NA,NA,NA,0,14,0.317518248175182,0.104651002264351,0.530385494086014,87,274,0.124610591900312,0.0711737331218799,0.178047450678743,360,2889,0.539468897781011,0.442593932001765,0.636343863560258,1483,2749,NA,NA,NA,14,25
"01","111","AL","Randolph County","01111",NA,NA,NA,0,0,NA,NA,NA,0,214,0.219160525472605,0.13988941306063,0.29843163788458,684,3121,0.26281208935611,0.0345227353274445,0.491101443384776,200,761,NA,NA,NA,0,0
"01","113","AL","Russell County","01113",NA,NA,NA,0,20,0.474716981132075,0.307215777122182,0.642218185141969,629,1325,0.152759465059333,0.0894707970588112,0.216048133059855,811,5309,0.441301059001513,0.35009686996701,0.532505248036016,2917,6610,NA,NA,NA,46,46
"01","115","AL","St. Clair County","01115",NA,NA,NA,0,53,0.175,0.0235632786294958,0.326436721370504,147,840,0.138610271903323,0.0983874290646501,0.178833114741996,2294,16550,0.247169811320755,0.12974107525482,0.36459854738669,524,2120,NA,NA,NA,0,109
"01","117","AL","Shelby County","01117",NA,NA,NA,0,167,0.206229353468617,0.129792421659401,0.282666285277834,1311,6357,0.0555667231427505,0.0414775106698509,0.0696559356156501,1935,34823,0.0756008739985433,0.0471975598740611,0.104004188123026,519,6865,0.0438756855575868,0,0.127448467681287,48,1094
"01","119","AL","Sumter County","01119",NA,NA,NA,0,0,NA,NA,NA,0,10,0.185185185185185,0.0407591350806485,0.329611235289722,85,459,0.532011331444759,0.484427546001454,0.579595116888064,939,1765,NA,NA,NA,0,0
"01","121","AL","Talladega County","01121",NA,NA,NA,30,30,0.402116402116402,0.28489291653135,0.519339887701455,228,567,0.181135314947956,0.136095327757266,0.226175302138645,1688,9319,0.363427697016067,0.280526464385556,0.446328929646579,1900,5228,NA,NA,NA,0,75
