"statecode","countycode","v059_numerator","v059_denominator","v059_rawvalue","v059_cilow","v059_cihigh"
"00","000",13134090,313447641,0.0419020221626106,0.0416334291367771,0.042170615188444
"01","000",53272,4759836,0.0111919822447664,0.0105728160400476,0.0118111484494852
"01","001",219,55855,0.0039208665294065,0,0.00804629407980629
"01","003",1904,227497,0.0083693411341688,0.00550919293096514,0.0112294893373725
"01","005",378,23377,0.0161697394875305,0.00523560942946339,0.0271038695455976
"01","007",146,21083,0.00692501067210549,0,0.0146800430078807
"01","009",1000,55895,0.0178906878969496,0.0128289195467366,0.0229524562471627
"01","011",179,9605,0.0186361270171786,0,0.0384190043662137
"01","013",29,17741,0.00163463164421397,0,0.00709405763247726
"01","015",472,109637,0.00430511597362204,0.00215839786058243,0.00645183408666166
"01","017",97,32465,0.00298783305097798,0,0.00763129439428395
"01","019",231,24046,0.00960658737419945,0.00151551713204484,0.0176976576163541
"01","021",1156,42742,0.0270459969117028,0.0142465816861558,0.0398454121372497
"01","023",11,11851,0.000928191713779428,0,0.00895118969218119
"01","025",25,21466,0.0011646324420013,0,0.00681588381536749
"01","027",43,13444,0.00319845284141625,0,0.0107727421007029
"01","029",56,14354,0.00390135153964052,0,0.0107959555798957
"01","031",888,50892,0.0174487149257251,0.0108081888236713,0.0240892410277788
"01","033",419,54402,0.00770192272342929,0.00236059881426409,0.0130432466325945
"01","035",12,10803,0.00111080255484588,0,0.00997957767583811
"01","037",0,9827,0,0,0.010184706053015
"01","039",63,35462,0.00177654954599289,0,0.00567432673658998
"01","041",47,12430,0.00378117457763475,0,0.0118130762599008
"01","043",710,84246,0.008427699831446,0.00491344069324029,0.0119419589696517
"01","045",438,46221,0.00947621211137794,0.00470832920207974,0.0142440950206761
"01","047",70,35310,0.00198244123477768,0,0.00572022941072214
"01","049",2993,67696,0.0442123611439376,0.035052015443234,0.0533727068446413
"01","051",509,83887,0.00606768629227413,0.00222483186411959,0.00991054072042867
"01","053",181,34557,0.00523772318198918,0,0.0119427920565115
"01","055",1012,97261,0.0104049927514626,0.00645490507751954,0.0143550804254056
"01","057",8,15387,0.000519919412491064,0,0.00689783918258169
"01","059",1294,29816,0.043399517037832,0.0298937885134308,0.0569052455622333
"01","061",151,25292,0.00597026727819073,0,0.0122164740508247
